node_idx,x,v,theta,omega,force,time
0.0,-1.718026328852622e-06,0.0021725157368445427,0.012541578128467424,-8.905938492203579e-05,11.525466342044462,0.0
1.0,0.0024970464363864475,0.24923508663355337,0.046962916394855725,-0.24541277261086739,11.88708569782929,0.02
2.0,0.009972366474500952,0.4974133846496396,0.08499370183242624,-0.49128067309671014,11.514889051334444,0.04
3.0,0.02230653072526768,0.7340278034456377,0.11976940687269658,-0.7232992220972554,11.059324839437108,0.06
4.0,0.039239319303698256,0.957140356066994,0.1502952600340345,-0.9384081059697198,10.589778361583821,0.08
5.0,0.06050672516446512,1.1677001154815543,0.17663662864316318,-1.1369810064649744,10.20406955511521,0.1
6.0,0.08465933466726451,1.2457157869940352,0.1994882032035397,-1.2013222760191808,-2.3833047801617475,0.12000000000000001
7.0,0.10823981728866681,1.110720331858771,0.22303575569234815,-1.0539811586118937,-10.766090133067673,0.14
8.0,0.12821176688462926,0.8844767906068166,0.25101841506380684,-0.8164590362446377,-11.121968745902757,0.16
9.0,0.1435787064633159,0.6506175699808351,0.283987675907354,-0.5722172562021178,-11.325938001897471,0.18
10.0,0.15422217101167632,0.41294748750206334,0.3220193395418794,-0.32684015511873976,-11.433529092972554,0.19999999999999998
11.0,0.16008723374398895,0.17397364201863036,0.3649704442254961,-0.0846280152732217,-11.478387304261933,0.21999999999999997
12.0,0.16117982219793728,-0.06435203006453415,0.4126655535250673,0.15091873213167004,-11.478462071183245,0.23999999999999996
13.0,0.1575269062934453,-0.30038370375449025,0.4651109318685395,0.37675221113892327,-11.442274151298946,0.25999999999999995
14.0,0.1491817262705693,-0.5333880607347544,0.5222144775398277,0.5900969965908169,-11.372957778206246,0.27999999999999997
15.0,0.1362438079190249,-0.7616397287401049,0.5833846648931258,0.7884711314123779,-11.27039647953484,0.3
16.0,0.11874111626435238,-0.9846720900990383,0.6485360269177406,0.9696397897618985,-11.13288567631677,0.32
17.0,0.09687565179416609,-1.2006297618101212,0.71739654359907,1.1316628877594643,-10.959631741370355,0.34
18.0,0.07076399491885833,-1.4090443441740774,0.7894393610285669,1.2730630625396282,-10.7551430017945,0.36000000000000004
19.0,0.04058660713186773,-1.6093164218124678,0.8642671913349974,1.3930132814223124,-10.533650910572225,0.38000000000000006
20.0,0.006491345821285431,-1.8012738713792324,0.9414847078118969,1.4914890820152287,-10.319917009541486,0.4000000000000001
21.0,-0.03140282742644189,-1.9860205587948319,1.0210423697816453,1.569273193787801,-10.143759620857068,0.4200000000000001
22.0,-0.07267897271402,-2.1420877098349984,1.1049281222836693,1.617372074326266,-7.558476747876289,0.4400000000000001
23.0,-0.11516531287479398,-2.1053204758910984,1.1982025429091563,1.5775739598718244,10.441818012401914,0.46000000000000013
24.0,-0.15522666144479286,-1.8984136512631358,1.2798690506269736,1.474752959512553,10.717564437377577,0.48000000000000015
25.0,-0.19106498242826803,-1.6870220458395764,1.3577473025260454,1.3831480793283146,10.890452916547428,0.5000000000000001
26.0,-0.22268629657527528,-1.472891873588902,1.4335578359262644,1.3039304411440338,11.011410234781238,0.5200000000000001
27.0,-0.25001332199189985,-1.2572102723231215,1.5077921315820166,1.237846204294031,11.096968911305517,0.5400000000000001
28.0,-0.2729553921942474,-1.0405615241894268,1.5806638632295535,1.1853716671226568,11.154662724524218,0.5600000000000002
29.0,-0.29159986006453703,-0.8229438019803581,1.6525387844154815,1.1467957864737353,11.188602720421768,0.5800000000000002
30.0,-0.3058504695715426,-0.6055704606530338,1.723668618149126,1.1222736572734713,11.201174103598383,0.6000000000000002
31.0,-0.315916221520901,-0.38799786953567794,1.7942974190096515,1.1118629978754355,11.193716444506407,0.6200000000000002
32.0,-0.3214140742133283,-0.17110903719085344,1.8648015446791815,1.1155483442552006,11.16687157254996,0.6400000000000002
33.0,-0.32263271340791505,0.045162183890722886,1.9353825221994223,1.1332540996800413,11.120815799463934,0.6600000000000003
34.0,-0.31958154309674314,0.26027192419766604,2.006350249853701,1.1648580445824628,11.055455742535983,0.6800000000000003
35.0,-0.31239301072444137,0.47391632303547915,2.0779320882798733,1.21019588409705,10.970645667710833,0.7000000000000003
36.0,-0.30075829069575777,0.6861018637940023,2.150405638433121,1.269060403555339,10.866455676624899,0.7200000000000003
37.0,-0.2849873602802767,0.8959628830514406,2.224087810356575,1.341215905231811,10.743510567728691,0.7400000000000003
38.0,-0.2649705988937149,1.1040119333504541,2.2992230736327772,1.4264130527555974,10.603422080019756,0.7600000000000003
39.0,-0.24090633427185007,1.3088641071009486,2.3760558077941183,1.5244001322288658,10.44947269031806,0.7800000000000004
40.0,-0.21252288169145686,1.5109950549883142,2.4547750713161474,1.6349792546876105,10.287865514952601,0.8000000000000004
41.0,-0.18036027429583482,1.7100164902194064,2.535245157693263,1.7581041366564503,10.127952233251461,0.8200000000000004
42.0,-0.14562446390623432,1.7422911126194718,2.6136251300214464,1.7512417102985494,-6.900922234038568,0.8400000000000004
43.0,-0.11256994940965705,1.5732142771086897,2.6938017469638122,1.5773731427275708,-10.246480791306103,0.8600000000000004
44.0,-0.08298382438713645,1.3666071282059788,2.771272567345952,1.3689741550359213,-10.443978142552924,0.8800000000000004
45.0,-0.05802567749309219,1.152727708417576,2.8445027592243712,1.1532507338962297,-10.652191137583447,0.9000000000000005
46.0,-0.03720351430290578,0.9318910334729738,2.913174765112786,0.930870654987159,-10.856231942255528,0.9200000000000005
47.0,-0.021234434419251064,0.7049607336830244,2.9771478172172046,0.7026544374958628,-11.045530237415402,0.9400000000000005
48.0,-0.009439363589312456,0.4721914349402743,3.0361387069732535,0.46952578938395784,-11.213789730000066,0.9600000000000005
49.0,-0.002357928769361163,0.23550905113482165,3.0887579103830185,0.2328183552113208,-11.35912260609716,0.9800000000000005
50.0,1.1650198385770122e-06,0.001513829266346068,3.1285804985423216,-0.00027859898632144885,-11.10033900293382,1.0000000000000004
