node_idx,x,y,vx,vy,yaw,omega,nu,xi,throttle,steer,time
0.0,1.2204142608237433e-16,3.8730189889652874e-18,10.0,-4.732054988171065e-15,9.98975528605401e-16,-8.475163619167041e-18,-1.0019155477186847e-23,1.520288373264921e-15,19.99487413439246,-0.0025677122754391175,0.0
1.0,14.283185307179588,-0.002657402804316653,28.599913531752442,0.0038591429683726072,-0.0005069929144197857,-0.002031031095346866,-0.0026574028043063877,-0.0005069929144188702,19.992087502138418,0.0055197743536427,14.283185307179588
2.0,28.566370614359176,-0.011316061213380798,36.386009830456246,0.010803991576060774,-0.0011374448138684974,-0.000624849262196284,-0.011316061213333034,-0.0011374448138642228,19.988856863603015,-0.006438744091901123,28.566370614359176
3.0,42.849555921538766,-0.02881888693569111,42.315473523724044,0.019626612278464538,-0.0020745248613352587,-0.0048272678678842225,-0.028818886935615056,-0.002074524861335269,19.984924244744885,0.0054890798479028035,42.849555921538766
4.0,57.13274122871835,-0.06333920491590862,47.16121756220456,0.07047731661145902,-0.004717069971052216,-0.012073284327940288,-0.06333920491584535,-0.004717069971053963,19.985003141150738,-0.008577244413526242,57.13274122871835
5.0,71.41592653589794,-0.12837130481196005,51.26253193904592,0.14903489553760652,-0.008791319314533853,-0.016103700497143623,-0.12837130481188117,-0.008791319314529877,19.981972261439257,0.0053835256155093745,71.41592653589794
6.0,85.69911184307753,-0.22413247587614646,54.80853795441473,0.12986257257735612,-0.00989478613552069,0.008720414213060811,-0.22413247587601726,-0.009894786135517577,19.98092330862904,-0.0017699491896949447,85.69911184307753
7.0,99.98229715025712,-0.3528909908828688,57.917927181719215,0.10354536207921,-0.012288658895574855,-0.028623319172274016,-0.35289099088269904,-0.012288658895572338,19.973434559555884,-0.00704284838186648,99.98229715025712
8.0,114.26548245743672,-0.5080930267354471,60.67503431253617,0.1762581336144316,-0.014136341963620852,0.014315395067329501,-0.5080930267352429,-0.014136341963618548,19.974784757615257,0.013861735337666742,114.26548245743672
9.0,128.5486677646163,-0.6670463683245851,63.1396240525155,-0.09501282843584506,-0.009520567059194504,0.0258535923742393,-0.6670463683243529,-0.00952056705919291,19.97034256075333,-0.009390504043179548,128.5486677646163
10.0,142.8318530717959,-0.804545332900952,65.34943958090982,-0.31765468684794057,-0.003362514971211377,0.02962003883470896,-0.8045453329006971,-0.0033625149712097767,19.96828369896461,0.013879539598668455,142.8318530717959
11.0,157.1150383789755,-0.8600010614095747,67.33223062701514,-0.75373365300289,0.011652420755764458,0.11103075201699796,-0.8600010614092966,0.01165242075576609,19.963260423990707,0.010982982150165422,157.1150383789755
12.0,171.3982236861551,-0.7590786671564488,69.11229835290071,-1.5612432768688425,0.03626362790684925,0.12418523242491393,-0.7590786671561486,0.036263627906850705,19.96207321211079,0.0075552455873669055,171.3982236861551
13.0,185.68140899333468,-0.40641166713182464,70.6847670923773,-2.3550672790250755,0.06900040380470726,0.19704664765044974,-0.4064116671315038,0.06900040380470872,19.961142113526478,0.028616964659644997,185.68140899333468
14.0,199.95429621953113,0.32239084440692695,72.04229839869969,-3.5269276980018165,0.11525765508528882,0.2658703811750182,0.20345382012761576,0.09858793212883123,19.957508983436885,0.01636991885845159,199.96459430051428
15.0,214.162552627352,1.5512487165665032,73.17013648095032,-4.7978228421194995,0.17176961834674168,0.31088374561195076,0.8233177426835651,0.10272220916587621,19.95371623428532,0.03266467297888703,214.24777960769387
16.0,228.25238109310584,3.4125812469893533,74.05600844092258,-6.055703293782004,0.23804093085518466,0.37783367188509487,1.2018834706185197,0.09757759513842122,19.95311785237519,0.028918004167943812,228.53096491487346
17.0,242.19636566716252,6.030000761915854,74.73236700720103,-7.29304258840503,0.31194744409922975,0.4001357982172904,1.3352026888780977,0.10006818184656834,19.952667751111854,0.031386481974648,242.81415022205306
18.0,255.94597103827542,9.499596517417993,75.2549881066606,-8.173513813144012,0.3878787985504984,0.40686797910783673,1.3294338409802824,0.10458360976193894,19.951164442188208,0.029660263817012252,257.0973355292326
19.0,269.4335506238181,13.884003237735667,75.68101584965979,-8.713406611233065,0.46351341749930514,0.4025650472142782,1.262535951625418,0.10880230217484786,19.948925401116927,0.03084869100081532,271.3805208364122
20.0,282.58366401552314,19.208186789816445,76.041884393031,-9.008477972016166,0.5384282194200918,0.40354533131814185,1.1813000437381496,0.1123011775597366,19.94363173105141,0.03123834271614959,285.66370614359175
21.0,295.3226442071357,25.464822043105997,76.37820377773402,-9.135260062350632,0.6115873309047544,0.3871641892853466,1.1059403818966382,0.1140443625085014,19.947448628586855,0.027092020593678275,299.9468914507713
22.0,307.57882163944004,32.63011663045978,76.6701816375116,-9.184072957470887,0.6847394960158164,0.4065594946455797,1.0460329665020958,0.11578060108366572,19.948804753329128,0.03810054884510342,314.2300767579509
23.0,319.2856061704642,40.66832594580353,76.94025044811848,-9.29951285543355,0.7581472432058715,0.3926752859596799,1.0037519052328032,0.11777242173782293,19.950431490619184,0.021085758754755726,328.51326206513045
24.0,330.3812838807674,49.534807919327996,77.19035751158216,-9.298160793159333,0.8303894904287424,0.39644238971906975,0.9767863159361924,0.11859874242479615,19.950575683758423,0.04086939932570155,342.79644737231
25.0,340.80486936325883,59.18431991278724,77.40732827267213,-9.366824086807922,0.9036232111865009,0.40588118705079734,0.9676185826978196,0.12041653664665676,19.949607317203224,0.02268681338555768,357.0796326794896
26.0,350.5029433101053,69.56309967391358,77.61682821265656,-9.42310553986428,0.9761973157750247,0.39142177484710844,0.9729633141471216,0.12157471469928276,19.94799708886694,0.036108619244979684,371.36281798666914
27.0,359.4216915818971,80.61722356086396,77.7894379486953,-9.453714797993532,1.0493754436439555,0.41460948625424343,0.995402291551504,0.12333691603231568,19.94594202842275,0.03012293386187468,385.6460032938487
28.0,367.51386323814734,92.28766251206217,77.95744067158779,-9.550429314644376,1.1225122742688496,0.39288963647848985,1.0348663424233993,0.12505782012131206,19.943613190403475,0.027765613954235928,399.9291886010283
29.0,374.73600989500653,104.51143489884375,78.0992980631021,-9.539136648043739,1.1952360476986323,0.4118901925773792,1.0915651846947043,0.12636566701519694,19.94075616767339,0.03762802158910683,414.21237390820784
30.0,381.051485544092,117.22260882981513,78.24436030865014,-9.581547098588684,1.2675212327944951,0.389723212815073,1.1640631348293953,0.1272349255751618,19.937258594909192,0.019831769427284082,428.4955592153874
31.0,386.43845393071956,130.34868660293517,78.40962320244394,-9.426001287976522,1.3366952764308497,0.37912794009518963,1.2402692798981645,0.12499304267561875,19.933165423528294,0.038012747186174096,442.77874452256697
32.0,390.889990227248,143.8162351989789,78.61766955210119,-9.166035833754934,1.402151070201794,0.3500986383598259,1.2992959931398815,0.11903290991066526,19.92887846807541,0.013921555250417036,457.06192982974653
33.0,394.4306944574001,157.55037025500218,78.92152025847729,-8.620175764264202,1.4596811872622502,0.2926173803631632,1.2944776086580214,0.10514710043522345,19.92477049785992,0.027498627243286246,471.3451151369261
34.0,397.1126537167152,171.4848517245301,79.31749005444567,-7.783518603471207,1.5082062972962509,0.2511316748864629,1.1581373958925432,0.08225628393332651,19.922118602287277,0.010513151615775682,485.62830044410566
35.0,399.02759675809364,185.5700280516008,79.83980159409958,-6.683070266581268,1.5443972136915984,0.15555376766384907,0.7880629929795013,0.04703127379277632,19.92462439241093,0.008567539463863927,499.9114857512852
36.0,400.29386064223814,199.77499862273575,80.44713488965269,-5.266148878954801,1.5681719261928022,0.1122771306236895,0.1931704586446468,0.018428300069561882,19.94077173662344,0.010577886066384145,514.1946710584648
37.0,401.04747755655706,214.04521695018576,81.09844150102056,-3.8779145714220853,1.5810501941104582,0.03318145189844075,-0.37895077184165704,0.014636845030748538,19.913609864907517,-0.007089258118652502,528.4778563656444
38.0,401.4296762766388,228.3268642727839,81.74736290873403,-2.5017193208307535,1.5854209879012917,0.0165575764299979,-0.6985498792821055,0.019007638821581938,19.887896920799612,0.014118028928463408,542.7610416728239
39.0,401.5674652163773,242.60958284486242,82.36109501304684,-1.485939330321278,1.5855233939069142,-0.015536815017171426,-0.7737368587441728,0.01911004482720437,19.914601061330806,-0.015005313144777063,557.0442269800035
40.0,401.564073379358,256.8929202131018,82.93775808380416,-0.6990379540211032,1.5830214351523908,-0.013388148946661276,-0.7077417053613988,0.01660808607268094,19.886535026442335,0.016718650806991146,571.327412287183
41.0,401.49049568008843,271.1765652063811,83.4650614896977,-0.23518005501547948,1.5801234611573882,-0.020406039332594116,-0.571560015570478,0.013710112077678407,19.86959917887735,-0.01831924501252746,585.6105975943626
42.0,401.397855075678,285.46029375248395,83.94890504745372,0.11018722142172242,1.5759484726603261,-0.028537620305141568,-0.4163152375333631,0.00953512358061637,19.812549202614413,0.014822967534168688,599.8937829015422
43.0,401.31439985842155,299.74398203898176,84.39155730519408,0.3074524910109779,1.5723753385567638,-0.013553271546619299,-0.270255934878705,0.005961989477054057,19.810574946178164,-0.014429373565044408,614.1769682087217
44.0,401.25775126363186,314.0275528318983,84.81401393242581,0.357353382143443,1.5692951331160558,-0.022952516477317254,-0.15100351217719235,0.0028817840363460964,19.96105413964176,0.010346139868805431,628.4601535159013
45.0,401.23197667363615,328.31098830387333,85.1509419369526,0.35443081245206115,1.5675309989878399,0.0020186979039894656,-0.06262539082445469,0.0011176499081299576,19.11361950328764,-0.007597532450877159,642.7433388230809
46.0,401.23397115478,342.594302063849,85.21417756650816,0.22605469150264204,1.5669663675497711,-0.008753859405270435,-0.0020166073421774506,0.0005530184700614131,16.86797685307185,0.004695375790364564,657.0265241302604
47.0,401.25965766437605,356.877511981527,84.82893548518284,0.19999643063650877,1.5660169540057882,-0.002533792306902005,0.034899920118306255,-0.0003963950739215247,13.648482516206471,-0.0045787238359776645,671.30970943744
48.0,401.29913944765724,371.16066143444067,83.83116560988599,0.10458010239782344,1.5664391377365126,0.007433546506225063,0.058021041385588036,2.5788656802788702e-05,9.124628845874476,0.0062539835981455585,685.5928947446196
49.0,401.3505522236108,385.44375859374446,81.92820131674651,0.05632551296027123,1.5660185553306196,-0.012064349823236706,0.06921105537941946,-0.0003947937490902714,2.2284602811076257,-0.010257199418274507,699.8760800517991
50.0,401.40437253989023,399.7268452007851,79.22118544936846,0.027273672582309123,1.5670052272721176,0.022573566452415983,0.07799350592216571,0.0005918781924077931,-1.1635497619361121,0.017125268928617793,714.1592653589787
