node_idx,x,v,theta,omega,force,time
0.0,7.022564762858669e-05,0.016658476155457957,0.02517721184696743,-0.010797820714161674,10.34763015079346,0.0
1.0,0.0007492293693963026,0.1306018715252338,0.03540108223078224,-0.12552077006654394,10.53839056819887,0.01
2.0,0.0028829058365686393,0.25441735073077226,0.054573007835178156,-0.24492827619279203,10.337957174705895,0.02
3.0,0.006072062989902392,0.3753098689449326,0.06905210305425533,-0.36724809823401694,10.470955430548582,0.03
4.0,0.007773674791763185,0.5084890747158016,0.08867833816809602,-0.4814504518849953,10.259156507058853,0.04
5.0,0.0016708117382951276,0.6735403386222675,0.11063705958771547,-0.6027754184418367,10.372263817128161,0.05
6.0,-0.0019336053313357615,0.8326623847260874,0.13296577519981304,-0.7112656854880646,10.17887891251367,0.06
7.0,0.005865174297308419,0.9697639427193089,0.14865304425412026,-0.8278785728630408,10.246482917155289,0.06999999999999999
8.0,0.01691976305088551,1.0809590203585118,0.1625560784118766,-0.92899747410364,10.104108190271672,0.08
9.0,0.02700304539751692,1.1876294340996751,0.174063685155684,-1.037774062600436,10.11644285337139,0.09
10.0,0.03853004950922012,1.2822164813477734,0.18600105637091488,-1.1307251354022805,10.042351972531712,0.1
11.0,0.056112483522092624,1.3287691485326076,0.1950027085578702,-1.1815721157228158,0.050185576500205595,0.11
12.0,0.07526869294039802,1.2670346238575199,0.2054397087962294,-1.1186757055638883,-10.166325584959154,0.12000000000000001
13.0,0.09195526710881763,1.1596948232061646,0.2128396134998636,-1.0145803250564431,-10.16845586601847,0.13
14.0,0.1066881135805811,1.0447127069359394,0.22811500260863196,-0.8978141131956382,-10.112532821782724,0.14
15.0,0.11913910987323006,0.9351691517979477,0.2376434288087734,-0.7879080554721603,-10.298005096631556,0.15000000000000002
16.0,0.1315106694683589,0.8173191342112544,0.25613785901996466,-0.6667662396051641,-10.174216063689128,0.16
17.0,0.1457655043402652,0.6998822551306387,0.2677371375206791,-0.5523613671947505,-10.370459199295166,0.17
18.0,0.15781633050778826,0.5764830941813929,0.2894121072662958,-0.4298439825180805,-10.218191861069242,0.18
19.0,0.1642908486947614,0.45473185518032194,0.3031226188167997,-0.31361083765001996,-10.40958870703372,0.19
20.0,0.16734639790843672,0.33243019761594694,0.32786059997459277,-0.19191997416188353,-10.246851377545111,0.19999999999999998
21.0,0.17091861180603396,0.21476145965658774,0.34371451162003297,-0.07620864456702255,-10.428654748981243,0.21
22.0,0.1741036815339961,0.09923607661457656,0.3713599572456445,0.04283945937431235,-10.262662250533216,0.21999999999999997
23.0,0.17589552941510309,-0.014081685394636887,0.38931801091466933,0.15605961929193496,-10.434646895992376,0.22999999999999998
24.0,0.17645923188808435,-0.12786842910230056,0.41974569158346264,0.2708782700607973,-10.26769739433172,0.23999999999999996
25.0,0.17521359186290753,-0.24658306888508,0.4397414576307724,0.37991403376828786,-10.430824065345494,0.24999999999999997
26.0,0.171870218589347,-0.3656468756463637,0.47287007130700637,0.48906470848785805,-10.263433697034909,0.25999999999999995
27.0,0.16636094834328677,-0.4828903677404126,0.49491260929220743,0.592411464616219,-10.418222231924533,0.26999999999999996
28.0,0.16020423377756504,-0.5988918276493982,0.5305526048290493,0.6945626504851216,-10.250882350292432,0.27999999999999997
29.0,0.15501168954852368,-0.7184416841014888,0.5545806787009885,0.7908598990774545,-10.396619892086708,0.29
30.0,0.14868606091747852,-0.83353040018723,0.5925599821624735,0.8847929894844098,-10.2307986919119,0.3
31.0,0.14024786501901143,-0.9447251199818053,0.61856366672999,0.9728234818554671,-10.364821222939145,0.31
32.0,0.12917481398292807,-1.0503782510630122,0.6585770709494339,1.0574561174712584,-10.203992314604507,0.32
33.0,0.11527180219359782,-1.154991828105809,0.6864122329818888,1.1361575350355362,-10.321488041408665,0.33
34.0,0.1006646435283179,-1.2572902160249444,0.7282313829388407,1.2106249645105318,-10.171580258580738,0.34
35.0,0.0860433867740976,-1.363385661516187,0.757806946641634,1.27913692759388,-10.265843782477878,0.35000000000000003
36.0,0.0708345057637057,-1.4647826286112509,0.8011403655875483,1.3428569983909824,-10.135269409800987,0.36000000000000004
37.0,0.053819605151719546,-1.5675064253216604,0.8323294283810095,1.4006045201792494,-10.199465143918179,0.37000000000000005
38.0,0.03606312860270226,-1.6643315738392215,0.8768790120606283,1.4533731745247598,-10.097576970838697,0.38000000000000006
39.0,0.018944481895125563,-1.7631526964758015,0.9094401878278009,1.500137040805213,-10.128167276183774,0.39000000000000007
40.0,0.0019418930525292644,-1.8574757451666613,0.9552588685450555,1.54223800217591,-10.061752583612744,0.4000000000000001
41.0,-0.016210080863858927,-1.9533340171982312,0.9889440033040277,1.5782275657630451,-10.063006564675891,0.4100000000000001
42.0,-0.03480379018040525,-2.0442512524679155,1.0371502845905092,1.6103996927758677,-10.031251265113045,0.4200000000000001
43.0,-0.05460288676656107,-2.1351083404307407,1.0718197060606334,1.6362353246307046,-10.018083907826295,0.4300000000000001
44.0,-0.07522410205970803,-2.2217793400837995,1.1265447654699963,1.6591733193947151,-10.01050033885577,0.4400000000000001
45.0,-0.09641344801680478,-2.2061103491454617,1.1791213511652026,1.6333265420726126,9.810835983184358,0.4500000000000001
46.0,-0.11818177895201475,-2.0915030179611356,1.2237943430359854,1.5718346751572239,10.068633685316112,0.46000000000000013
47.0,-0.1395015217293923,-1.9917692816446648,1.2732268390206951,1.518960603249466,10.19845290950582,0.47000000000000014
48.0,-0.15982153953836464,-1.8856341269338626,1.309751594829385,1.468547531856255,10.110348217854689,0.48000000000000015
